DCSCH
prove
0.,0.
31
1.0000E-01 1.00E+02 5.00E-02
1.2589E-01 1.00E+02 5.00E-02
1.5848E-01 1.00E+02 5.00E-02
1.9952E-01 1.00E+02 5.00E-02
2.5118E-01 1.00E+02 5.00E-02
3.1622E-01 1.00E+02 5.00E-02 
3.9810E-01 1.01E+02 5.00E-02 
5.0118E-01 1.01E+02 5.00E-02 
6.3095E-01 1.01E+02 5.00E-02 
7.9432E-01 1.01E+02 5.00E-02 
1.0000E+00 1.00E+02 5.00E-02
1.2589E+00 1.00E+02 5.00E-02
1.5848E+00 1.00E+02 5.00E-02
1.9952E+00 1.00E+02 5.00E-02
2.5118E+00 1.00E+02 5.00E-02
3.1622E+00 1.00E+02 5.00E-02 
3.9810E+00 1.01E+02 5.00E-02 
5.0118E+00 1.01E+02 5.00E-02 
6.3095E+00 1.01E+02 5.00E-02 
7.9432E+00 1.01E+02 5.00E-02 
1.0000E+01 1.01E+02 5.00E-02
1.2589E+01 1.01E+02 5.00E-02
1.5848E+01 1.01E+02 5.00E-02
1.9952E+01 1.01E+02 5.00E-02
2.5118E+01 1.01E+02 5.00E-02
3.1622E+01 1.00E+02 5.00E-02 
3.9810E+01 1.00E+02 5.00E-02 
5.0118E+01 1.00E+02 5.00E-02 
6.3095E+01 1.00E+02 5.00E-02 
7.9432E+01 1.00E+02 5.00E-02 
1.0000E+02 1.00E+02 5.00E-02
